iter	RMSE
0	14.16141079
1	13.24513674
2	12.39595311
3	11.74771866
4	11.09494084
5	10.48671565
6	10.01385735
7	9.585226868
8	9.166971857
9	8.812598693
10	8.448187896
11	8.108459709
12	7.780626444
13	7.502637019
14	7.310315559
15	7.136272133
16	6.924896079
17	6.75190435
18	6.624041565
19	6.494205381
20	6.370834573
21	6.26259021
22	6.152072317
23	6.063639476
24	5.96988073
25	5.897924492
26	5.820645625
27	5.747965124
28	5.692439264
29	5.637900765
30	5.591389006
31	5.533820751
32	5.495299949
33	5.464312788
34	5.436129436
35	5.393806363
36	5.355099262
37	5.316819082
38	5.293950769
39	5.266393596
40	5.238942299
41	5.21796924
42	5.205184129
43	5.182513016
44	5.16653074
45	5.142368095
46	5.122534683
47	5.100534865
48	5.082213013
49	5.07093289
50	5.059633677
51	5.037825877
52	5.025392922
53	5.009942884
54	4.998673024
55	4.979385178
56	4.968247138
57	4.95482338
58	4.944856646
59	4.931779457
60	4.914099315
61	4.905604366
62	4.897503635
63	4.888881833
64	4.875786469
65	4.867465252
66	4.853188677
67	4.837088537
68	4.827908532
69	4.821756426
70	4.813720017
71	4.803779338
72	4.797040712
73	4.792301543
74	4.784926654
75	4.777670525
76	4.768118459
77	4.760501154
78	4.752610435
79	4.745133961
80	4.736347488
81	4.722377009
82	4.706147301
83	4.696789271
84	4.688628565
85	4.677341333
86	4.667140475
87	4.658985761
88	4.651568628
89	4.649557461
90	4.637491465
91	4.628080353
92	4.614906911
93	4.607686444
94	4.599843796
95	4.593303226
96	4.573593757
97	4.571125467
98	4.552061742
99	4.540847604
