iter	Passed	Remaining
0	1	145
1	2	126
2	3	123
3	4	110
4	5	106
5	6	105
6	7	101
7	8	99
8	9	98
9	10	98
10	12	97
11	13	99
12	14	98
13	15	98
14	17	96
15	18	95
16	19	94
17	20	92
18	21	91
19	22	90
20	23	89
21	24	87
22	25	86
23	27	86
24	28	84
25	29	83
26	30	82
27	31	81
28	32	79
29	33	78
30	34	77
31	35	76
32	36	74
33	37	73
34	39	72
35	40	71
36	41	70
37	42	69
38	43	68
39	44	67
40	45	66
41	46	64
42	47	63
43	48	61
44	49	60
45	50	59
46	51	58
47	52	57
48	54	56
49	55	55
50	56	53
51	57	52
52	58	51
53	59	50
54	60	49
55	62	48
56	63	47
57	64	46
58	65	45
59	67	44
60	70	45
61	72	44
62	74	43
63	76	43
64	77	41
65	78	40
66	79	39
67	80	37
68	81	36
69	82	35
70	84	34
71	85	33
72	86	31
73	87	30
74	88	29
75	89	28
76	90	26
77	91	25
78	92	24
79	93	23
80	94	22
81	95	21
82	96	19
83	97	18
84	98	17
85	99	16
86	100	15
87	101	13
88	102	12
89	103	11
90	104	10
91	105	9
92	107	8
93	108	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
