iter	Passed	Remaining
0	132	132445
1	133	66745
2	134	44776
3	135	33784
4	136	27207
5	137	22810
6	138	19678
7	139	17329
8	141	15580
9	142	14139
10	144	13025
11	145	12020
12	147	11164
13	147	10420
14	149	9796
15	150	9234
16	151	8741
17	152	8296
18	153	7902
19	154	7547
20	155	7246
21	156	6967
22	158	6726
23	159	6478
24	160	6248
25	161	6038
26	162	5843
27	163	5663
28	164	5497
29	165	5342
30	166	5200
31	167	5061
32	168	4931
33	169	4813
34	171	4725
35	172	4626
36	173	4524
37	174	4427
38	176	4337
39	176	4247
40	177	4162
41	179	4084
42	179	4005
43	180	3930
44	181	3858
45	182	3790
46	184	3741
47	186	3692
48	187	3642
49	188	3583
50	189	3528
51	190	3474
52	191	3425
53	192	3376
54	193	3329
55	194	3282
56	195	3238
57	196	3194
58	198	3159
59	200	3148
60	202	3109
61	202	3070
62	203	3032
63	204	2995
64	205	2959
65	206	2925
66	207	2891
67	208	2859
68	209	2831
69	210	2799
70	211	2770
71	213	2755
72	215	2732
73	216	2706
74	217	2679
75	218	2655
76	219	2629
77	220	2603
78	221	2578
79	222	2554
80	223	2530
81	223	2507
82	224	2479
83	225	2457
84	227	2446
85	229	2434
86	230	2417
87	231	2397
88	232	2377
89	233	2358
90	234	2339
91	235	2320
92	236	2304
93	237	2287
94	238	2270
95	239	2253
96	240	2236
97	241	2221
98	243	2212
99	244	2199
100	245	2188
101	246	2173
102	247	2158
103	248	2144
104	249	2129
105	250	2114
106	251	2099
107	252	2085
108	253	2073
109	254	2062
110	255	2049
111	256	2037
112	258	2027
113	259	2017
114	260	2006
115	261	1993
116	262	1981
117	263	1969
118	264	1958
119	265	1946
120	266	1935
121	267	1923
122	268	1913
123	269	1903
124	270	1892
125	272	1890
126	273	1881
127	274	1873
128	275	1863
129	276	1852
130	277	1842
131	278	1833
132	279	1823
133	280	1815
134	282	1808
135	283	1798
136	284	1789
137	285	1780
138	286	1772
139	288	1769
140	289	1765
141	290	1755
142	291	1747
143	292	1739
144	293	1732
145	295	1725
146	296	1719
147	297	1711
148	298	1705
149	299	1698
